id,SMILES,FFV,smiles_len,count_star,count_C,count_O,count_N,count_equal,split,MolWt,NumValenceElectrons,TPSA
4834929,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,0.36594162,41,2,4,0,2,0,train,234.302,88,24.06
5118841,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,0.40101187,28,2,9,1,1,1,train,231.33899999999994,92,20.310000000000002
5350166,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,0.31898697,36,2,13,6,2,3,train,302.327,120,113.96000000000002
5650517,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,0.33573247,57,2,13,7,1,4,train,453.4910000000003,174,107.99999999999999
5661484,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,0.38715626,73,2,0,4,0,2,train,556.6030000000002,198,104.16000000000001
5709902,*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,0.33579028,30,2,8,2,2,2,train,246.30999999999995,96,58.199999999999996
5724071,*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,0.33930299,47,2,3,2,4,2,train,359.38900000000007,134,95.15
5857263,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,0.36614256,90,2,4,7,2,4,train,642.6230000000004,234,102.44999999999999
5905810,*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,0.34722767,46,2,16,2,2,2,train,358.52600000000007,144,58.2
5966923,*c1cc(CCOC(=O)NCCCC)c(*)s1,0.36941899,26,2,7,2,1,1,train,225.31299999999996,82,38.33
6019988,*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,0.3407009,36,2,10,2,2,2,train,274.364,108,58.2
6102563,*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,0.32926001,50,2,8,7,1,4,valid,381.34000000000015,142,99.21000000000001
6259923,*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,0.32877014,46,2,4,2,4,1,train,296.33000000000004,112,105.55999999999999
6645418,*CCCCCNC(=O)CCCCC(=O)N*,0.3327408,23,2,11,2,2,2,train,212.29299999999998,86,58.2
6665789,*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,0.35017075,47,2,4,2,2,3,valid,340.38200000000006,126,58.199999999999996
7586800,*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,0.38518992,162,2,9,8,4,6,valid,1141.274,414,151.41999999999996
8689461,*CC(*)CCCCCCCCCCCCCCCC,0.40787312,22,2,18,0,0,0,train,252.4859999999999,108,0.0
9284896,*O[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](*)(C)C,0.38708542,41,2,12,3,2,2,train,302.523,110,67.42999999999999
10061985,*CCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,0.3487648,68,2,14,4,2,4,valid,506.6020000000003,192,74.76
10557152,*C(C)=C(*)[Ge](C)(C)C,0.39996108,21,2,6,0,0,1,train,156.772,40,0.0
11301237,*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(*)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,0.40256926,175,2,7,7,2,4,train,1201.1080000000004,436,154.01
11664621,*OC(COC(*)=O)COC(C)C,0.35338284,20,2,7,4,0,1,train,160.16899999999998,64,44.760000000000005
11667291,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,0.38083463,87,2,7,6,2,6,valid,588.5750000000004,214,108.9
11796436,*Nc1cc2c(c(-c3ccccc3)c1N*)[C@@H](c1ccccc1)c1ccccc1-2,0.37078536,52,2,1,0,2,0,train,346.43300000000005,128,24.06
11894206,*CC(*)C(=O)Oc1ccccc1C,0.35783052,21,2,4,2,0,1,train,162.18799999999996,62,26.3
11955349,*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,0.39901234,36,2,1,0,1,1,valid,255.32,94,12.36
12265790,*CC(*)C(=O)OC(C)C,0.36594213,17,2,6,2,0,1,valid,114.14399999999998,46,26.3
12381586,*CC(*)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,0.35839221,43,2,10,3,1,1,train,349.43000000000006,134,59.32
12395811,*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,0.37715059,62,2,8,4,0,2,train,476.5720000000003,180,36.92
12627006,*c1ccc(OCCN(CC)c2ccc(C(C#N)=C(C#N)C#N)cc2)c(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)c1,0.39541698,104,2,9,2,4,1,train,762.873,280,118.85000000000001
12724819,*C=Cc1ccc2c(c1)Sc1cc(-c3ccc4c(c3)Sc3cc(*)ccc3N4c3ccc(OCCCCCCCCCCCC)cc3)ccc1N2c1ccc(OCCCCCCCCCCCC)cc1,0.400601,100,2,26,2,2,1,train,941.4039999999991,354,24.94
13021733,*O[Si](*)(CCCOCCOCCOCCOCCOC)CCCOCCOCCOCCOCCOC,0.36551909,45,2,24,11,0,0,train,542.7390000000005,216,101.53000000000003
13364814,*CCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,0.33815952,32,2,13,3,2,3,valid,288.3279999999999,110,75.27
13630833,*c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,0.42131241,106,2,16,4,2,4,train,718.694,268,74.76
13850404,*OC(=O)OCC(O)C(O)COC(=O)OC1COC2C(*)COC12,0.29768641,40,2,12,10,0,2,train,320.25,124,129.98000000000002
13874722,*CCCCCOCO*,0.36424093,10,2,6,2,0,0,train,116.16,48,18.46
15891916,*c1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(Oc5ccc(-c6nc(-c7cccc(-c8nc(*)c(-c9ccccc9)[nH]8)c7)[nH]c6-c6ccccc6)cc5)cc4)c3)cc2)cc1,0.39177495,121,2,2,4,0,2,train,828.9280000000002,304,109.96000000000001
15979280,*Oc1ccc(NC(=O)c2cc(NC(=O)CCCCCN3C(=O)c4ccccc4C3=O)cc(C(=O)Nc3ccc(*)cc3)c2)cc1,0.33547772,77,2,10,6,4,5,train,588.6200000000002,220,133.91
16364869,*c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc(C(F)(F)F)c1)C2=O,0.39841654,87,2,8,4,2,4,train,584.3500000000001,210,74.76
16855553,*CC(*)C(=O)Oc1ccccc1,0.3539411,20,2,3,2,0,1,valid,148.16099999999997,56,26.3
17114758,*Oc1ccc(Cc2ccc(OC(=O)c3ccc(C(C)(C)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,0.36534872,62,2,6,4,0,2,train,448.51800000000014,168,52.6
17899555,*C=C(*)c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C#C)cc5)c(=O)c4cc3c2=O)cc1,0.37446752,66,2,4,4,0,5,valid,416.39200000000017,150,78.14
17943713,*c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(OCCCCCCOc3ccc(/C=C/c4ccc(F)cc4)cc3)c2)cc1OCCCCCCOc1ccc(/C=C/c2ccc(F)cc2)cc1,0.36214283,138,2,20,9,2,6,train,1083.197,406,120.91000000000003
18227797,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)C(=O)OCCCCCC)cc1,0.35827772,66,2,22,7,1,4,train,579.7340000000005,228,107.99999999999999
18308835,*O[Si](C)(C)c1ccc2ccc([Si](*)(C)C)cc2c1,0.41603966,39,2,4,1,0,0,train,258.46899999999994,88,9.23
18339242,*CC(*)C(=O)OC([2H])([2H])[2H],0.32713966,29,2,4,2,0,1,train,89.10830533399998,34,26.3
18520951,*CC(C)(C)C1C(=O)N(c2c(C)cccc2C)C(=O)C1*,0.36567807,39,2,10,2,1,2,train,257.33299999999997,100,37.38
18696710,*CC(O)COc1c(C)cc(S(=O)(=O)c2cc(C)c(O*)c(C)c2)cc1C,0.36816578,49,2,7,5,0,2,train,362.4470000000001,134,72.83
19277692,*c1ccc(Oc2ccc(-c3cnc4ccc(Oc5ccc6nc(*)cnc6c5)cc4n3)cc2)cc1,0.39336683,57,2,0,2,0,0,train,440.4620000000001,160,70.02000000000001
19303052,*CC(*)(C)C(=O)OCc1cc(Cl)ccc1Cl,0.36119278,30,2,7,2,0,1,train,245.105,80,26.3
19522327,*CC(*)OC(=O)c1cccc(Br)c1,0.37722551,24,2,3,2,0,1,train,227.05699999999996,62,26.3
20039468,*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(C(=O)c5cccc(C(=O)c6ccc(*)cc6)c5)cc4)cc3)cc2)cc1,0.36836692,76,2,2,4,0,2,train,544.6060000000002,200,52.6
20273521,*CC(CN1C(=O)C2C3C=CC(C3)C2C1=O)O*,0.34392035,33,2,12,3,1,3,train,219.23999999999995,84,46.61
20627281,*Nc1cc2ccccc2c(-c2cccc3ccccc23)c1N*,0.35509262,35,2,0,0,2,0,train,282.346,104,24.06
20883601,*Cc1cc(C)c(CNC(=O)c2ccc(C(=O)N*)cc2)cc1C,0.33875515,40,2,6,2,2,2,valid,294.35400000000004,112,58.2
21279513,*Oc1ccc(C2(c3ccc(OC4(F)C(*)(F)C(F)(F)C4(F)F)cc3)c3ccccc3-c3ccccc32)cc1,0.38927007,70,2,5,2,0,0,train,510.4330000000001,186,18.46
21520341,*C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)CCC(C)CC2)cc1,0.37589597,62,2,10,3,2,3,train,436.51100000000025,164,66.48
22184710,*CC(*)c1ccc(C(=O)OCCC)cc1,0.37674615,25,2,6,2,0,1,train,190.24199999999996,74,26.3
22597605,*c1ccc(Oc2ccc(-c3nc4cc(-c5ccc6nc(-c7ccccc7)c(*)nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,0.41714937,77,2,0,1,0,0,train,576.6590000000002,210,60.790000000000006
22905078,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.32506583,49,2,9,2,0,1,train,354.11499999999995,130,26.3
22928574,*O[Sn](CCCC)(CCCC)OC(=O)/C=C/C(*)=O,0.35027613,35,2,12,4,0,3,valid,346.999,96,52.6
22953969,*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCCC(*)=O)cc2)cc1,0.35595348,47,2,14,4,0,2,valid,408.53800000000024,160,52.6
23036398,*c1ccc(S(=O)(=O)c2ccc(N3C(=O)C(C)C(SCCOCCSC4C(=O)N(c5ccc(S(=O)(=O)c6ccc(N7C(=O)CC(C)(SCCOCCSC8(C)CC(=O)N(*)C8=O)C7=O)cc6)cc5)C(=O)C4C)C3=O)cc2)cc1,0.34421859,146,2,28,14,4,12,train,1149.4039999999995,400,236.25999999999996
23694396,*N=P(*)(Cl)Cl,0.34644364,13,2,2,0,1,1,train,115.887,24,12.36
23713841,*C(=O)Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(NC(=O)c6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)cc6)C7=O)cc5)cc4)NC(=O)c4ccccc43)cc2)cc1,0.36615689,159,2,8,11,5,7,train,1104.1000000000001,404,198.97999999999996
24351648,*Nc1ccc(C2(c3ccc(N*)cc3)C=CCCC2)cc1,0.34884686,35,2,6,0,2,1,train,262.35599999999994,100,24.06
24969052,*CCCCCOC(=O)c1cccc(C(=O)O*)c1,0.34539931,29,2,7,4,0,2,train,234.251,90,52.60000000000001
24982830,*c1ccc(NC(=O)CN2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(CC(=O)Nc4ccc(-c6nnc(*)o6)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,0.35544781,111,2,11,6,4,6,valid,774.5900000000005,282,171.88
25581268,*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,0.37886829,104,2,7,8,2,6,train,732.7700000000003,264,127.36000000000001
25596707,*c1ccc(Oc2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,0.42813779,114,2,10,5,2,4,train,754.9910000000001,270,83.99000000000001
25599707,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6cccc(-c7nc(*)c(-c8ccccc8)[nH]7)c6)[nH]c5-c5ccccc5)cc4)cc3)cc2)cc1,0.40187067,110,2,0,4,0,2,train,760.8750000000002,274,109.96000000000001
25748429,*c1ccc(Cc2ccc(N3C(=O)C4CCC5C(=O)N(*)C(=O)C5C4C3=O)c(C)c2)cc1C,0.38793304,61,2,13,4,2,4,train,414.4610000000001,156,74.76
26367456,*Nc1ccc(C[C@](CC)(CCC)c2ccc(N)c(C[C@](C=C)(CC)c3ccc(N*)cc3)c2)cc1,0.35808156,65,2,13,0,3,1,train,453.67400000000015,178,50.08
26995134,*Nc1ccc(/C=C/c2ccc(N*)cc2)cc1,0.34415534,29,2,2,0,2,1,train,208.264,78,24.06
28121925,*c1ccc(C(c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.39361972,88,2,7,4,2,4,train,592.4510000000004,214,74.76
28200504,*CCOC(=O)NCCCCCCNC(=O)O*,0.32916214,24,2,10,4,2,2,train,230.26399999999995,92,76.66000000000001
28479659,*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(-c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)c2)cc1,0.36156161,101,2,4,8,2,4,valid,734.7200000000003,268,111.68
29482987,*C(=C(*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,0.40046864,36,2,2,1,0,1,valid,270.331,100,9.23
29766304,*CC(*)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,0.35600022,38,2,5,3,0,2,train,266.296,100,43.370000000000005
29881762,*CCCCCCN1C(=O)C(=O)N(*)C1=O,0.31655437,27,2,9,3,2,3,train,196.206,76,57.690000000000005
29928066,*CC(*)(C)C(=O)OCCn1c2ccccc2c2ccccc21,0.35181885,36,2,6,2,0,1,valid,279.33900000000006,106,31.23
30682090,*c1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(Oc5ccc6cc(Oc7ccc8c(c7)C(=O)N(*)C8=O)ccc6c5)cc4C3=O)cc2)cc1,0.38208553,91,2,7,6,2,4,train,642.6670000000003,236,93.22
31430153,*OC(COC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1)c1ccco1,0.34289328,48,2,5,4,2,2,train,378.38400000000007,142,89.8
31529134,*C(=O)Nc1cccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c1,0.33798245,55,2,4,4,3,4,train,383.36300000000006,140,95.58000000000001
31841016,*CC(*)(C)C(=O)OCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.41138901,59,2,7,8,2,4,train,324.24500000000006,122,138.88000000000002
32316139,*CCN(*)C(=O)c1cc(F)cc(F)c1F,0.33952456,27,2,3,1,1,1,valid,201.14699999999996,74,20.310000000000002
32586958,*NC(N*)=C(N)/C(N)=N/C,0.29714034,21,2,4,0,5,2,train,127.15100000000002,50,88.46
34026248,*Nc1ccc(Cc2ccc(NC(=O)c3ccc(P(=O)(c4ccccc4)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,0.36719294,70,2,3,3,2,3,train,528.5480000000002,190,75.27
34042817,*CCCCCCOC(=O)c1cccc(C(=O)O*)c1,0.34938247,30,2,8,4,0,2,train,248.278,96,52.60000000000001
34234994,*c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(Oc6ccc(NC(=O)c7cccc(N8C(=O)c9ccc(C(*)(C(F)(F)F)C(F)(F)F)cc9C8=O)c7)cc6)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)c1)C2=O,0.36162895,162,2,12,8,4,6,train,1164.9120000000005,424,151.42
34546505,*Oc1cccc(Oc2ccc(C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)c1,0.37794539,79,2,2,5,0,3,train,592.5870000000003,212,69.67
35288312,*c1ccc(C=Nc2ccc(C(c3ccccc3)c3ccc(N=Cc4ccc(-c5ccc(*)s5)cc4)cc3)cc2)cc1,0.40126347,69,2,3,0,2,2,valid,530.6960000000003,190,24.72
35380876,*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(-c6ccc(Oc7ccc(-c8nc9cc%10sc(*)nc%10cc9s8)cc7)cc6)c(=O)c5cc4c3=O)cc2)cc1,0.422749,105,2,0,6,0,4,train,740.7780000000001,256,122.38
35399593,*N=P(*)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,0.39264145,33,2,2,2,1,1,train,259.245,92,30.82
35822036,*CC1(C)CC(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC(C)(C)C1,0.36993749,67,2,14,5,2,4,train,444.4870000000003,168,83.99000000000001
36780446,*Oc1cc(CCCC)cc(OC(=O)c2cccc(C(*)=O)c2)c1,0.36080704,40,2,6,4,0,2,train,296.322,112,52.6
37511814,*Nc1ccc2c(c1)c1ccccc1c1c(-c3ccc(CCCCC)cc3)c(N*)c(-c3ccc(CCCCC)cc3)cc21,0.36461838,70,2,10,0,2,0,train,548.7740000000005,210,24.06
37571918,*Nc1cc2ccc3ccc4c(N*)cc5ccc6ccc1c1c6c5c4c3c21,0.33562005,44,2,0,0,2,0,valid,328.37400000000014,118,24.06
37623475,*Nc1ccc(-c2ccc(N*)c(-c3cccc(C)c3)c2-c2cccc(C)c2)cc1,0.37320004,51,2,2,0,2,0,train,362.47600000000006,136,24.06
37727451,*C(=O)Nc1ccc(C)cc1N1C(=O)CC(N2C(=O)c3ccc(*)cc3C2=O)C1=O,0.34915334,55,2,8,5,3,5,train,375.34000000000015,138,103.85999999999999
38112797,*Nc1cc(C2CCCCC2)c2ccc3c(N*)c(-c4ccccc4)c(C4CCCCC4)c4c(-c5ccccc5)cc1c2c34,0.39389056,72,2,12,0,2,0,train,546.7580000000003,208,24.06
38228922,*C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc(*)ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)n1,0.36599842,93,2,4,4,3,4,train,616.5970000000001,224,165.82999999999998
39109326,*CCN(CCOC(=O)NCC1(C)CC(NC(=O)O*)CC(C)(C)C1)c1ccc(N=Nc2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)cc1,0.36633956,89,2,16,5,5,4,train,707.8120000000004,266,121.69
40088405,*c1ccc(C(c2ccccc2)c2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,0.39645555,86,2,5,6,2,6,train,596.6200000000002,212,108.9
40146140,*C(=O)Nc1cc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5o4)cc(N4C(=O)c5ccc(*)cc5C4=O)c2)C3=O)cc(-c2nc3ccccc3[nH]2)c1,0.37477933,113,2,6,6,4,6,train,761.71,276,187.67
40417262,*Nc1ccc(Oc2cccc(N*)c2)cc1,0.33227609,25,2,0,1,2,0,train,198.22500000000002,74,33.29
40655089,*C(=O)Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)cc7)cc5)C6=O)cc4)cc3)cc2)cc1,0.36114325,160,2,6,12,4,8,valid,1113.1290000000001,402,204.01999999999995
40953121,*C(=O)Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(NC(=O)c6ccc7c(c6)C(=O)N(c6ccc(C)c(N8C(=O)c9ccc(*)cc9C8=O)c6)C7=O)cc5)cc4)NC(=O)c4ccccc43)cc2)cc1,0.37070669,132,2,9,9,5,7,train,933.933,342,180.51999999999995
41386383,*CCCCCC(*)CCCCCC,0.40628619,16,2,12,0,0,0,train,168.32399999999998,72,0.0
41421570,*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccc(C(*)(C(F)(F)F)C(F)(F)F)cc8C7=O)cc6)cc5)n4)cc3)cc1)C2=O,0.36563224,129,2,9,8,2,6,train,909.7510000000004,330,140.25
41644742,*Oc1ccc(OC(=O)c2cc(OCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,0.34909461,108,2,20,12,4,4,train,824.8839999999997,316,182.28
41977066,*CC(*)(C)C(=O)NC(=O)Oc1c(Br)cc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1Br,0.37549639,65,2,5,6,1,4,valid,676.9590000000001,154,109.77
43489811,*CCCNC(=O)c1ccc(C(=O)NCCCO*)cc1,0.32981777,31,2,8,3,2,2,train,262.3089999999999,102,67.43
44130721,*Oc1ccc(OC(=O)c2cccc(Sc3ccc(OC(=O)c4ccc(C(=O)Oc5ccc(Sc6cccc(C(*)=O)c6)cc5)cc4)cc3)c2)cc1C,0.35931108,89,2,5,8,0,4,valid,710.7850000000003,250,105.20000000000002
44332410,*CC(*)CCCCCCC,0.40501273,13,2,9,0,0,0,valid,126.243,54,0.0
45108843,*O[Si](C)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](*)(C)CCC(F)(F)F,0.36246435,115,2,22,1,0,0,valid,852.537,306,9.23
45704443,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(C(=O)c4ccc(C(c5ccc(C(=O)c6ccc(*)cc6)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc2)cc1,0.3798743,102,2,8,4,0,2,train,736.7080000000005,272,52.6
45818224,*OC(F)(F)C(F)(F)C(*)(F)F,0.2987695,24,2,3,1,0,0,valid,166.01999999999998,60,9.23
